native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.024,0.019,1.237,0.025,0.021,0.02,0.016,1.07,1.11,PASS,rope_llama3_b8_s1,16,4,new
0.327,0.116,2.817,0.358,0.142,0.316,0.112,1.09,1.23,PASS,rope_llama3_s128,1,0,base
0.198,0.114,1.743,0.23,0.116,0.193,0.111,1.16,1.02,PASS,rope_llama3_s128,1,0,new
0.198,0.113,1.748,0.245,0.119,0.195,0.111,1.23,1.05,PASS,rope_llama3_s128,1,1,new
0.33,0.115,2.88,0.355,0.125,0.319,0.111,1.08,1.09,PASS,rope_llama3_s128,1,1,base
0.33,0.115,2.867,0.352,0.118,0.322,0.113,1.07,1.02,PASS,rope_llama3_s128,1,2,base
0.197,0.114,1.729,0.207,0.131,0.194,0.111,1.05,1.15,PASS,rope_llama3_s128,1,2,new
0.198,0.115,1.729,0.23,0.124,0.194,0.113,1.16,1.09,PASS,rope_llama3_s128,1,3,new
0.328,0.115,2.841,0.361,0.118,0.321,0.112,1.1,1.02,PASS,rope_llama3_s128,1,3,base
0.325,0.115,2.822,0.356,0.138,0.321,0.112,1.09,1.2,PASS,rope_llama3_s128,1,4,base
0.198,0.115,1.73,0.229,0.137,0.193,0.111,1.15,1.19,PASS,rope_llama3_s128,1,4,new
0.511,0.035,14.618,0.725,0.037,0.426,0.031,1.42,1.05,PASS,rope_llama3_s128,8,0,base
