native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
3.921,0.831,4.718,4.734,0.952,1.854,0.495,1.21,1.15,PASS,kvcat_llama3_p4095,16,2,new
3.98,0.738,5.393,5.9,0.795,1.912,0.512,1.48,1.08,PASS,kvcat_llama3_p4095,16,3,new
5.972,0.867,6.886,8.107,0.967,3.554,0.593,1.36,1.11,PASS,kvcat_llama3_p4095,16,3,base
3.69,0.723,5.102,6.389,0.75,3.382,0.567,1.73,1.04,PASS,kvcat_llama3_p4095,16,4,base
3.379,0.665,5.079,3.936,0.762,1.852,0.546,1.16,1.15,PASS,kvcat_llama3_p4095,16,4,new
7.487,3.776,1.983,7.567,3.817,7.33,3.71,1.01,1.01,PASS,kvcat_llama3_p8191,1,0,base
3.747,3.779,0.992,3.779,3.811,3.724,3.531,1.01,1.01,PASS,kvcat_llama3_p8191,1,0,new
3.711,3.789,0.979,3.807,3.8,3.705,3.612,1.03,1.0,PASS,kvcat_llama3_p8191,1,1,new
7.373,3.751,1.966,7.429,3.818,7.136,3.734,1.01,1.02,PASS,kvcat_llama3_p8191,1,1,base
7.476,3.792,1.971,7.517,3.846,7.374,3.674,1.01,1.01,PASS,kvcat_llama3_p8191,1,2,base
3.846,3.78,1.018,3.991,3.829,3.772,3.531,1.04,1.01,PASS,kvcat_llama3_p8191,1,2,new
3.774,3.774,1.0,3.878,3.792,3.748,3.523,1.03,1.0,PASS,kvcat_llama3_p8191,1,3,new
7.477,3.778,1.979,7.544,3.822,7.307,3.513,1.01,1.01,PASS,kvcat_llama3_p8191,1,3,base
7.425,3.769,1.97,7.496,3.819,7.234,3.633,1.01,1.01,PASS,kvcat_llama3_p8191,1,4,base
3.755,3.727,1.008,3.89,3.794,3.716,3.558,1.04,1.02,PASS,kvcat_llama3_p8191,1,4,new
7.327,1.654,4.43,7.502,1.755,6.722,1.411,1.02,1.06,PASS,kvcat_llama3_p8191,8,0,base
3.779,1.563,2.417,3.88,1.754,3.542,1.38,1.03,1.12,PASS,kvcat_llama3_p8191,8,0,new
3.775,1.584,2.384,4.036,1.653,3.639,1.273,1.07,1.04,PASS,kvcat_llama3_p8191,8,1,new
7.256,1.62,4.479,7.605,1.701,6.593,1.307,1.05,1.05,PASS,kvcat_llama3_p8191,8,1,base
7.259,1.746,4.158,7.784,1.911,6.759,1.589,1.07,1.1,PASS,kvcat_llama3_p8191,8,2,base
3.578,1.412,2.533,3.882,1.525,3.489,1.298,1.09,1.08,PASS,kvcat_llama3_p8191,8,2,new
3.578,1.871,1.913,3.883,1.956,3.453,1.739,1.09,1.05,PASS,kvcat_llama3_p8191,8,3,new
7.194,1.725,4.17,7.473,1.816,6.646,1.617,1.04,1.05,PASS,kvcat_llama3_p8191,8,3,base
7.256,1.615,4.493,7.594,1.764,6.535,1.443,1.05,1.09,PASS,kvcat_llama3_p8191,8,4,base
3.795,1.582,2.4,3.838,1.648,3.698,1.298,1.01,1.04,PASS,kvcat_llama3_p8191,8,4,new
7.495,1.578,4.749,7.693,1.722,6.988,1.414,1.03,1.09,PASS,kvcat_llama3_p8191,16,0,base
3.803,1.601,2.376,3.974,1.718,3.65,1.417,1.04,1.07,PASS,kvcat_llama3_p8191,16,0,new
3.758,1.375,2.733,3.884,1.55,3.607,1.201,1.03,1.13,PASS,kvcat_llama3_p8191,16,1,new
7.385,1.575,4.689,7.82,1.711,7.009,1.383,1.06,1.09,PASS,kvcat_llama3_p8191,16,1,base
7.47,1.61,4.64,7.755,1.762,6.845,1.358,1.04,1.09,PASS,kvcat_llama3_p8191,16,2,base
3.866,1.348,2.867,3.944,1.566,3.792,1.233,1.02,1.16,PASS,kvcat_llama3_p8191,16,2,new
3.909,1.444,2.707,4.029,1.527,3.853,1.251,1.03,1.06,PASS,kvcat_llama3_p8191,16,3,new
7.984,1.473,5.418,8.346,1.534,7.769,1.233,1.05,1.04,PASS,kvcat_llama3_p8191,16,3,base
7.755,1.555,4.988,8.087,1.594,7.293,1.298,1.04,1.03,PASS,kvcat_llama3_p8191,16,4,base
3.887,1.532,2.538,4.441,1.78,3.835,1.279,1.14,1.16,PASS,kvcat_llama3_p8191,16,4,new
