native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.299,0.308,0.973,0.326,0.339,0.266,0.255,1.09,1.1,PASS,kvcat_llama3_p1023,1,4,main
0.291,0.062,4.655,0.31,0.074,0.273,0.052,1.07,1.18,PASS,kvcat_llama3_p1023,8,0,main
0.265,0.06,4.419,0.275,0.067,0.252,0.055,1.04,1.12,PASS,kvcat_llama3_p1023,8,1,main
0.269,0.056,4.818,0.295,0.067,0.257,0.051,1.09,1.2,PASS,kvcat_llama3_p1023,8,2,main
0.276,0.057,4.854,0.289,0.069,0.261,0.051,1.05,1.21,PASS,kvcat_llama3_p1023,8,3,main
0.295,0.063,4.672,0.317,0.071,0.273,0.053,1.07,1.12,PASS,kvcat_llama3_p1023,8,4,main
0.322,0.075,4.273,0.341,0.086,0.288,0.06,1.06,1.14,PASS,kvcat_llama3_p1023,16,0,main
0.366,0.093,3.924,0.415,0.113,0.314,0.072,1.13,1.21,PASS,kvcat_llama3_p1023,16,1,main
0.389,0.096,4.056,0.424,0.117,0.344,0.076,1.09,1.22,PASS,kvcat_llama3_p1023,16,2,main
0.414,0.105,3.93,0.436,0.126,0.39,0.08,1.05,1.2,PASS,kvcat_llama3_p1023,16,3,main
0.38,0.102,3.725,0.408,0.111,0.321,0.083,1.07,1.09,PASS,kvcat_llama3_p1023,16,4,main
0.878,0.919,0.955,1.044,1.011,0.828,0.839,1.19,1.1,PASS,kvcat_llama3_p2047,1,0,main
0.872,0.919,0.948,0.965,1.024,0.808,0.82,1.11,1.11,PASS,kvcat_llama3_p2047,1,1,main
0.869,0.898,0.968,0.966,1.052,0.809,0.819,1.11,1.17,PASS,kvcat_llama3_p2047,1,2,main
0.883,0.911,0.969,1.023,1.057,0.798,0.812,1.16,1.16,PASS,kvcat_llama3_p2047,1,3,main
0.884,0.858,1.031,1.097,1.035,0.807,0.774,1.24,1.21,PASS,kvcat_llama3_p2047,1,4,main
0.787,0.206,3.829,0.806,0.243,0.751,0.159,1.02,1.18,PASS,kvcat_llama3_p2047,8,0,main
0.778,0.222,3.503,0.853,0.253,0.737,0.176,1.1,1.14,PASS,kvcat_llama3_p2047,8,1,main
0.727,0.205,3.545,0.775,0.25,0.685,0.148,1.07,1.22,PASS,kvcat_llama3_p2047,8,2,main
0.728,0.186,3.914,0.783,0.267,0.664,0.148,1.08,1.43,PASS,kvcat_llama3_p2047,8,3,main
1.013,0.39,2.6,1.14,0.473,0.89,0.305,1.12,1.21,PASS,kvcat_llama3_p2047,8,4,main
1.03,0.265,3.878,1.079,0.332,0.983,0.193,1.05,1.25,PASS,kvcat_llama3_p2047,16,0,main
1.011,0.291,3.478,1.072,1.197,0.959,0.175,1.06,4.12,PASS,kvcat_llama3_p2047,16,1,main
0.957,0.23,4.155,1.063,0.293,0.871,0.168,1.11,1.27,PASS,kvcat_llama3_p2047,16,2,main
0.84,0.262,3.211,0.893,0.316,0.79,0.188,1.06,1.21,PASS,kvcat_llama3_p2047,16,3,main
1.0,0.258,3.882,1.036,0.311,0.887,0.184,1.04,1.21,PASS,kvcat_llama3_p2047,16,4,main
3.633,2.134,1.702,4.256,2.214,2.046,1.722,1.17,1.04,PASS,kvcat_llama3_p4095,1,0,main
3.563,2.089,1.706,4.167,2.153,2.044,1.809,1.17,1.03,PASS,kvcat_llama3_p4095,1,1,main
3.394,1.963,1.729,4.085,2.061,1.769,1.587,1.2,1.05,PASS,kvcat_llama3_p4095,1,2,main
3.567,1.98,1.802,4.948,2.094,1.708,1.806,1.39,1.06,PASS,kvcat_llama3_p4095,1,3,main
2.528,1.955,1.293,3.859,2.029,1.552,1.751,1.53,1.04,PASS,kvcat_llama3_p4095,1,4,main
3.902,0.769,5.075,4.427,0.989,1.711,0.561,1.13,1.29,PASS,kvcat_llama3_p4095,8,0,main
4.021,0.742,5.422,4.64,0.891,2.018,0.472,1.15,1.2,PASS,kvcat_llama3_p4095,8,1,main
3.494,0.657,5.318,4.035,0.808,1.772,0.424,1.15,1.23,PASS,kvcat_llama3_p4095,8,2,main
3.422,0.753,4.546,4.043,0.895,1.711,0.528,1.18,1.19,PASS,kvcat_llama3_p4095,8,3,main
3.679,0.745,4.934,3.928,0.878,1.767,0.498,1.07,1.18,PASS,kvcat_llama3_p4095,8,4,main
3.916,0.611,6.41,4.713,0.757,1.834,0.375,1.2,1.24,PASS,kvcat_llama3_p4095,16,0,main
3.99,0.583,6.845,4.065,0.736,1.853,0.485,1.02,1.26,PASS,kvcat_llama3_p4095,16,1,main
3.982,0.6,6.633,4.265,0.755,1.724,0.325,1.07,1.26,PASS,kvcat_llama3_p4095,16,2,main
3.51,0.59,5.946,4.265,0.65,1.658,0.397,1.21,1.1,PASS,kvcat_llama3_p4095,16,3,main
4.737,0.606,7.814,4.984,0.681,2.119,0.412,1.05,1.12,PASS,kvcat_llama3_p4095,16,4,main
3.798,3.828,0.992,4.159,4.199,3.651,3.516,1.09,1.1,PASS,kvcat_llama3_p8191,1,0,main
3.784,3.799,0.996,4.094,4.183,3.708,3.722,1.08,1.1,PASS,kvcat_llama3_p8191,1,1,main
3.875,3.852,1.006,4.344,4.304,3.713,3.519,1.12,1.12,PASS,kvcat_llama3_p8191,1,2,main
3.794,3.778,1.004,4.132,4.022,3.681,3.633,1.09,1.06,PASS,kvcat_llama3_p8191,1,3,main
3.777,3.762,1.004,4.154,4.13,3.716,3.383,1.1,1.1,PASS,kvcat_llama3_p8191,1,4,main
3.739,1.307,2.86,3.89,1.419,3.425,1.14,1.04,1.09,PASS,kvcat_llama3_p8191,8,0,main
3.757,1.34,2.803,4.466,1.438,3.497,1.169,1.19,1.07,PASS,kvcat_llama3_p8191,8,1,main
3.743,1.325,2.824,3.887,1.434,3.409,1.148,1.04,1.08,PASS,kvcat_llama3_p8191,8,2,main
3.786,1.401,2.702,3.877,1.531,3.447,1.166,1.02,1.09,PASS,kvcat_llama3_p8191,8,3,main
4.006,1.389,2.884,4.218,1.442,3.797,1.174,1.05,1.04,PASS,kvcat_llama3_p8191,8,4,main
3.972,1.366,2.909,4.101,1.44,3.817,1.12,1.03,1.05,PASS,kvcat_llama3_p8191,16,0,main
4.264,1.36,3.134,4.563,1.444,3.615,1.204,1.07,1.06,PASS,kvcat_llama3_p8191,16,1,main
3.991,1.426,2.798,4.263,1.488,3.766,1.221,1.07,1.04,PASS,kvcat_llama3_p8191,16,2,main
4.088,1.344,3.042,4.628,1.425,3.805,1.133,1.13,1.06,PASS,kvcat_llama3_p8191,16,3,main
3.783,1.28,2.955,3.992,1.383,3.646,1.181,1.06,1.08,PASS,kvcat_llama3_p8191,16,4,main
0.006,0.004,1.335,0.006,0.005,0.005,0.004,1.03,1.04,PASS,rope_gptj_il_s1,1,0,main
0.006,0.004,1.288,0.006,0.005,0.005,0.004,1.06,1.06,PASS,rope_gptj_il_s1,1,1,main
0.006,0.004,1.319,0.006,0.004,0.005,0.004,1.07,1.04,PASS,rope_gptj_il_s1,1,2,main
0.006,0.004,1.3,0.006,0.005,0.005,0.004,1.04,1.06,PASS,rope_gptj_il_s1,1,3,main
