native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.149,0.035,4.203,0.199,0.043,0.075,0.029,1.33,1.23,PASS,rope_gptj_il_s128,8,1,base
0.149,0.034,4.398,0.187,0.046,0.079,0.026,1.26,1.36,PASS,rope_gptj_il_s128,8,2,base
0.36,0.033,11.037,0.4,0.036,0.206,0.026,1.11,1.09,PASS,rope_gptj_il_s128,8,2,hot
0.377,0.034,11.218,0.419,0.039,0.321,0.028,1.11,1.15,PASS,rope_gptj_il_s128,8,3,hot
0.138,0.033,4.139,0.184,0.038,0.07,0.026,1.34,1.15,PASS,rope_gptj_il_s128,8,3,base
0.146,0.035,4.123,0.19,0.043,0.096,0.028,1.31,1.22,PASS,rope_gptj_il_s128,8,4,base
0.366,0.035,10.507,0.411,0.038,0.327,0.03,1.12,1.08,PASS,rope_gptj_il_s128,8,4,hot
0.19,0.034,5.556,0.272,0.043,0.107,0.03,1.43,1.24,PASS,rope_gptj_il_s128,16,0,base
2.004,0.036,55.751,3.994,0.048,0.314,0.025,1.99,1.33,PASS,rope_gptj_il_s128,16,0,hot
2.0,0.036,55.434,3.937,0.047,0.314,0.026,1.97,1.3,PASS,rope_gptj_il_s128,16,1,hot
0.201,0.032,6.326,0.289,0.04,0.094,0.027,1.44,1.25,PASS,rope_gptj_il_s128,16,1,base
0.21,0.033,6.427,0.285,0.04,0.124,0.027,1.35,1.24,PASS,rope_gptj_il_s128,16,2,base
0.992,0.034,28.99,3.962,0.046,0.317,0.029,3.99,1.33,PASS,rope_gptj_il_s128,16,2,hot
2.918,0.034,85.67,3.997,0.048,0.319,0.027,1.37,1.42,PASS,rope_gptj_il_s128,16,3,hot
